acronym,id,name,structure_id_path,parent_structure_id
AUDd1,527.0,"Dorsal auditory area, layer 1",/997/8/567/688/695/315/247/1011/527/,1011.0
AUDd2/3,600.0,"Dorsal auditory area, layer 2/3",/997/8/567/688/695/315/247/1011/600/,1011.0
AUDd4,678.0,"Dorsal auditory area, layer 4",/997/8/567/688/695/315/247/1011/678/,1011.0
AUDd5,252.0,"Dorsal auditory area, layer 5",/997/8/567/688/695/315/247/1011/252/,1011.0
AUDd6a,156.0,"Dorsal auditory area, layer 6a",/997/8/567/688/695/315/247/1011/156/,1011.0
AUDd6b,243.0,"Dorsal auditory area, layer 6b",/997/8/567/688/695/315/247/1011/243/,1011.0
DCO,96.0,Dorsal cochlear nucleus,/997/8/343/1065/354/386/607/96/,607.0
DCN,720.0,Dorsal column nuclei,/997/8/343/1065/354/386/720/,386.0
DMX,839.0,Dorsal motor nucleus of the vagus nerve,/997/8/343/1065/354/370/839/,370.0
DR,872.0,Dorsal nucleus raphe,/997/8/343/313/348/165/872/,165.0
LGd,170.0,Dorsal part of the lateral geniculate complex,/997/8/343/1129/549/864/1008/170/,1008.0
LGd-co,496345668.0,"Dorsal part of the lateral geniculate complex, core",/997/8/343/1129/549/864/1008/170/496345668/,170.0
LGd-ip,496345672.0,"Dorsal part of the lateral geniculate complex, ipsilateral zone",/997/8/343/1129/549/864/1008/170/496345672/,170.0
LGd-sh,496345664.0,"Dorsal part of the lateral geniculate complex, shell",/997/8/343/1129/549/864/1008/170/496345664/,170.0
DP,814.0,Dorsal peduncular area,/997/8/567/688/695/698/814/,698.0
PMd,980.0,Dorsal premammillary nucleus,/997/8/343/1129/1097/467/980/,467.0
DTN,880.0,Dorsal tegmental nucleus,/997/8/343/1065/771/987/880/,987.0
DT,75.0,Dorsal terminal nucleus of the accessory optic tract,/997/8/343/313/323/75/,323.0
DMH,830.0,Dorsomedial nucleus of the hypothalamus,/997/8/343/1129/1097/141/830/,141.0
ECT,895.0,Ectorhinal area,/997/8/567/688/695/315/895/,315.0
ECT1,836.0,Ectorhinal area/Layer 1,/997/8/567/688/695/315/895/836/,895.0
ECT2/3,427.0,Ectorhinal area/Layer 2/3,/997/8/567/688/695/315/895/427/,895.0
ECT5,988.0,Ectorhinal area/Layer 5,/997/8/567/688/695/315/895/988/,895.0
ECT6a,977.0,Ectorhinal area/Layer 6a,/997/8/567/688/695/315/895/977/,895.0
ECT6b,1045.0,Ectorhinal area/Layer 6b,/997/8/567/688/695/315/895/1045/,895.0
EW,975.0,Edinger-Westphal nucleus,/997/8/343/313/323/975/,323.0
EP,942.0,Endopiriform nucleus,/997/8/567/688/703/942/,703.0
EPd,952.0,"Endopiriform nucleus, dorsal part",/997/8/567/688/703/942/952/,942.0
EPv,966.0,"Endopiriform nucleus, ventral part",/997/8/567/688/703/942/966/,942.0
ENT,909.0,Entorhinal area,/997/8/567/688/695/1089/822/909/,822.0
ENTl,918.0,"Entorhinal area, lateral part",/997/8/567/688/695/1089/822/909/918/,909.0
ENTl1,1121.0,"Entorhinal area, lateral part, layer 1",/997/8/567/688/695/1089/822/909/918/1121/,918.0
ENTl2,20.0,"Entorhinal area, lateral part, layer 2",/997/8/567/688/695/1089/822/909/918/20/,918.0
ENTl3,52.0,"Entorhinal area, lateral part, layer 3",/997/8/567/688/695/1089/822/909/918/52/,918.0
ENTl5,139.0,"Entorhinal area, lateral part, layer 5",/997/8/567/688/695/1089/822/909/918/139/,918.0
ENTl6a,28.0,"Entorhinal area, lateral part, layer 6a",/997/8/567/688/695/1089/822/909/918/28/,918.0
ENTm,926.0,"Entorhinal area, medial part, dorsal zone",/997/8/567/688/695/1089/822/909/926/,909.0
ENTm1,526.0,"Entorhinal area, medial part, dorsal zone, layer 1",/997/8/567/688/695/1089/822/909/926/526/,926.0
ENTm2,543.0,"Entorhinal area, medial part, dorsal zone, layer 2",/997/8/567/688/695/1089/822/909/926/543/,926.0
ENTm3,664.0,"Entorhinal area, medial part, dorsal zone, layer 3",/997/8/567/688/695/1089/822/909/926/664/,926.0
ENTm5,727.0,"Entorhinal area, medial part, dorsal zone, layer 5",/997/8/567/688/695/1089/822/909/926/727/,926.0
ENTm6,743.0,"Entorhinal area, medial part, dorsal zone, layer 6",/997/8/567/688/695/1089/822/909/926/743/,926.0
EPI,958.0,Epithalamus,/997/8/343/1129/549/856/958/,856.0
Eth,560581551.0,Ethmoid nucleus of the thalamus,/997/8/343/1129/549/856/138/560581551/,138.0
ECU,903.0,External cuneate nucleus,/997/8/343/1065/354/386/903/,386.0
VII,661.0,Facial motor nucleus,/997/8/343/1065/354/370/661/,370.0
FC,982.0,Fasciola cinerea,/997/8/567/688/695/1089/1080/982/,1080.0
FN,989.0,Fastigial nucleus,/997/8/512/519/989/,519.0
CA1,382.0,Field CA1,/997/8/567/688/695/1089/1080/375/382/,375.0
CA2,423.0,Field CA2,/997/8/567/688/695/1089/1080/375/423/,375.0
CA3,463.0,Field CA3,/997/8/567/688/695/1089/1080/375/463/,375.0
FF,804.0,Fields of Forel,/997/8/343/1129/1097/290/797/804/,797.0
FL,1049.0,Flocculus,/997/8/512/528/1073/1049/,1073.0
FOTU,944.0,Folium-tuber vermis (VII),/997/8/512/528/645/944/,645.0
FRP,184.0,"Frontal pole, cerebral cortex",/997/8/567/688/695/315/184/,315.0
FRP1,68.0,"Frontal pole, layer 1",/997/8/567/688/695/315/184/68/,184.0
FRP2/3,667.0,"Frontal pole, layer 2/3",/997/8/567/688/695/315/184/667/,184.0
FRP5,526157192.0,"Frontal pole, layer 5",/997/8/567/688/695/315/184/526157192/,184.0
FRP6a,526157196.0,"Frontal pole, layer 6a",/997/8/567/688/695/315/184/526157196/,184.0
FRP6b,526322264.0,"Frontal pole, layer 6b",/997/8/567/688/695/315/184/526322264/,184.0
FS,998.0,Fundus of striatum,/997/8/567/623/477/493/998/,493.0
GENd,1008.0,"Geniculate group, dorsal thalamus",/997/8/343/1129/549/864/1008/,864.0
GENv,1014.0,"Geniculate group, ventral thalamus",/997/8/343/1129/549/856/1014/,856.0
GRN,1048.0,Gigantocellular reticular nucleus,/997/8/343/1065/354/370/1048/,370.0
GPe,1022.0,"Globus pallidus, external segment",/997/8/567/623/803/818/1022/,818.0
GPi,1031.0,"Globus pallidus, internal segment",/997/8/567/623/803/818/1031/,818.0
GR,1039.0,Gracile nucleus,/997/8/343/1065/354/386/720/1039/,720.0
GU,1057.0,Gustatory areas,/997/8/567/688/695/315/1057/,315.0
GU1,36.0,"Gustatory areas, layer 1",/997/8/567/688/695/315/1057/36/,1057.0
GU2/3,180.0,"Gustatory areas, layer 2/3",/997/8/567/688/695/315/1057/180/,1057.0
GU4,148.0,"Gustatory areas, layer 4",/997/8/567/688/695/315/1057/148/,1057.0
GU5,187.0,"Gustatory areas, layer 5",/997/8/567/688/695/315/1057/187/,1057.0
GU6a,638.0,"Gustatory areas, layer 6a",/997/8/567/688/695/315/1057/638/,1057.0
GU6b,662.0,"Gustatory areas, layer 6b",/997/8/567/688/695/315/1057/662/,1057.0
HEM,1073.0,Hemispheric regions,/997/8/512/528/1073/,528.0
HB,1065.0,Hindbrain,/997/8/343/1065/,343.0
HPF,1089.0,Hippocampal formation,/997/8/567/688/695/1089/,695.0
HIP,1080.0,Hippocampal region,/997/8/567/688/695/1089/1080/,1089.0
HATA,589508447.0,Hippocampo-amygdalar transition area,/997/8/567/688/695/1089/822/589508447/,822.0
XII,773.0,Hypoglossal nucleus,/997/8/343/1065/354/370/773/,370.0
LZ,290.0,Hypothalamic lateral zone,/997/8/343/1129/1097/290/,1097.0
MEZ,467.0,Hypothalamic medial zone,/997/8/343/1129/1097/467/,1097.0
HY,1097.0,Hypothalamus,/997/8/343/1129/1097/,1129.0
IG,19.0,Induseum griseum,/997/8/567/688/695/1089/1080/19/,1080.0
IC,4.0,Inferior colliculus,/997/8/343/313/339/4/,339.0
ICc,811.0,"Inferior colliculus, central nucleus",/997/8/343/313/339/4/811/,4.0
ICd,820.0,"Inferior colliculus, dorsal nucleus",/997/8/343/313/339/4/820/,4.0
ICe,828.0,"Inferior colliculus, external nucleus",/997/8/343/313/339/4/828/,4.0
IO,83.0,Inferior olivary complex,/997/8/343/1065/354/370/83/,370.0
ISN,106.0,Inferior salivatory nucleus,/997/8/343/1065/354/370/106/,370.0
ICB,372.0,Infracerebellar nucleus,/997/8/343/1065/354/370/372/,370.0
ILA,44.0,Infralimbic area,/997/8/567/688/695/315/44/,315.0
ILA1,707.0,"Infralimbic area, layer 1",/997/8/567/688/695/315/44/707/,44.0
ILA2/3,556.0,"Infralimbic area, layer 2/3",/997/8/567/688/695/315/44/556/,44.0
ILA5,827.0,"Infralimbic area, layer 5",/997/8/567/688/695/315/44/827/,44.0
ILA6a,1054.0,"Infralimbic area, layer 6a",/997/8/567/688/695/315/44/1054/,44.0
ILA6b,1081.0,"Infralimbic area, layer 6b",/997/8/567/688/695/315/44/1081/,44.0
IAD,1113.0,Interanterodorsal nucleus of the thalamus,/997/8/343/1129/549/856/239/1113/,239.0
IAM,1120.0,Interanteromedial nucleus of the thalamus,/997/8/343/1129/549/856/239/1120/,239.0
IB,1129.0,Interbrain,/997/8/343/1129/,343.0
IA,1105.0,Intercalated amygdalar nucleus,/997/8/567/623/477/278/1105/,278.0
IF,12.0,Interfascicular nucleus raphe,/997/8/343/313/348/165/12/,165.0
IGL,27.0,Intergeniculate leaflet of the lateral geniculate complex,/997/8/343/1129/549/856/1014/27/,1014.0
IntG,563807439.0,Intermediate geniculate nucleus,/997/8/343/1129/549/856/1014/563807439/,1014.0
IRN,136.0,Intermediate reticular nucleus,/997/8/343/1065/354/370/136/,370.0
IMD,59.0,Intermediodorsal nucleus of the thalamus,/997/8/343/1129/549/856/444/59/,444.0
IPN,100.0,Interpeduncular nucleus,/997/8/343/313/348/165/100/,165.0
IPA,607344842.0,"Interpeduncular nucleus, apical",/997/8/343/313/348/165/100/607344842/,100.0
IPC,607344838.0,"Interpeduncular nucleus, caudal",/997/8/343/313/348/165/100/607344838/,100.0
IPDL,607344858.0,"Interpeduncular nucleus, dorsolateral",/997/8/343/313/348/165/100/607344858/,100.0
IPDM,607344854.0,"Interpeduncular nucleus, dorsomedial",/997/8/343/313/348/165/100/607344854/,100.0
IPI,607344850.0,"Interpeduncular nucleus, intermediate",/997/8/343/313/348/165/100/607344850/,100.0
IPL,607344846.0,"Interpeduncular nucleus, lateral",/997/8/343/313/348/165/100/607344846/,100.0
IPR,607344834.0,"Interpeduncular nucleus, rostral",/997/8/343/313/348/165/100/607344834/,100.0
IPRL,607344862.0,"Interpeduncular nucleus, rostrolateral",/997/8/343/313/348/165/100/607344862/,100.0
IP,91.0,Interposed nucleus,/997/8/512/519/91/,519.0
INC,67.0,Interstitial nucleus of Cajal,/997/8/343/313/323/795/67/,795.0
I5,549009227.0,Intertrigeminal nucleus,/997/8/343/1065/771/987/549009227/,987.0
ILM,51.0,Intralaminar nuclei of the dorsal thalamus,/997/8/343/1129/549/856/51/,856.0
Isocortex,315.0,Isocortex,/997/8/567/688/695/315/,695.0
KF,123.0,Koelliker-Fuse subnucleus,/997/8/343/1065/771/1132/867/123/,867.0
LA,131.0,Lateral amygdalar nucleus,/997/8/567/688/703/131/,703.0
LD,155.0,Lateral dorsal nucleus of thalamus,/997/8/343/1129/549/856/239/155/,239.0
LAT,138.0,Lateral group of the dorsal thalamus,/997/8/343/1129/549/856/138/,856.0
LH,186.0,Lateral habenula,/997/8/343/1129/549/856/958/186/,958.0
LHA,194.0,Lateral hypothalamic area,/997/8/343/1129/1097/290/194/,290.0
LM,210.0,Lateral mammillary nucleus,/997/8/343/1129/1097/467/331/210/,331.0
LP,218.0,Lateral posterior nucleus of the thalamus,/997/8/343/1129/549/856/138/218/,138.0
LPO,226.0,Lateral preoptic area,/997/8/343/1129/1097/290/226/,290.0
LRN,235.0,Lateral reticular nucleus,/997/8/343/1065/354/370/235/,370.0
LRNm,955.0,"Lateral reticular nucleus, magnocellular part",/997/8/343/1065/354/370/235/955/,235.0
LRNp,963.0,"Lateral reticular nucleus, parvicellular part",/997/8/343/1065/354/370/235/963/,235.0
LSX,275.0,Lateral septal complex,/997/8/567/623/477/275/,477.0
LS,242.0,Lateral septal nucleus,/997/8/567/623/477/275/242/,275.0
LSc,250.0,"Lateral septal nucleus, caudal (caudodorsal) part",/997/8/567/623/477/275/242/250/,242.0
LSr,258.0,"Lateral septal nucleus, rostral (rostroventral) part",/997/8/567/623/477/275/242/258/,242.0
LSv,266.0,"Lateral septal nucleus, ventral part",/997/8/567/623/477/275/242/266/,242.0
LT,66.0,Lateral terminal nucleus of the accessory optic tract,/997/8/343/313/323/66/,323.0
LAV,209.0,Lateral vestibular nucleus,/997/8/343/1065/354/370/701/209/,701.0
VISl,409.0,Lateral visual area,/997/8/567/688/695/315/669/409/,669.0
VISl1,421.0,"Lateral visual area, layer 1",/997/8/567/688/695/315/669/409/421/,409.0
VISl2/3,973.0,"Lateral visual area, layer 2/3",/997/8/567/688/695/315/669/409/973/,409.0
VISl4,573.0,"Lateral visual area, layer 4",/997/8/567/688/695/315/669/409/573/,409.0
VISl5,613.0,"Lateral visual area, layer 5",/997/8/567/688/695/315/669/409/613/,409.0
VISl6a,74.0,"Lateral visual area, layer 6a",/997/8/567/688/695/315/669/409/74/,409.0
VISl6b,121.0,"Lateral visual area, layer 6b",/997/8/567/688/695/315/669/409/121/,409.0
LDT,162.0,Laterodorsal tegmental nucleus,/997/8/343/1065/771/1117/162/,1117.0
VISli,312782574.0,Laterointermediate area,/997/8/567/688/695/315/669/312782574/,669.0
VISli1,312782578.0,"Laterointermediate area, layer 1",/997/8/567/688/695/315/669/312782574/312782578/,312782574.0
VISli2/3,312782582.0,"Laterointermediate area, layer 2/3",/997/8/567/688/695/315/669/312782574/312782582/,312782574.0
VISli4,312782586.0,"Laterointermediate area, layer 4",/997/8/567/688/695/315/669/312782574/312782586/,312782574.0
VISli5,312782590.0,"Laterointermediate area, layer 5",/997/8/567/688/695/315/669/312782574/312782590/,312782574.0
VISli6a,312782594.0,"Laterointermediate area, layer 6a",/997/8/567/688/695/315/669/312782574/312782594/,312782574.0
VISli6b,312782598.0,"Laterointermediate area, layer 6b",/997/8/567/688/695/315/669/312782574/312782598/,312782574.0
LIN,203.0,Linear nucleus of the medulla,/997/8/343/1065/354/370/203/,370.0
LING,912.0,Lingula (I),/997/8/512/528/645/912/,645.0
CENT2,976.0,Lobule II,/997/8/512/528/645/920/976/,920.0
CENT3,984.0,Lobule III,/997/8/512/528/645/920/984/,920.0
"CUL4, 5",1091.0,Lobules IV-V,/997/8/512/528/645/928/1091/,928.0
LC,147.0,Locus ceruleus,/997/8/343/1065/771/1117/147/,1117.0
MA,298.0,Magnocellular nucleus,/997/8/567/623/803/835/298/,835.0
MARN,307.0,Magnocellular reticular nucleus,/997/8/343/1065/354/370/307/,370.0
MOB,507.0,Main olfactory bulb,/997/8/567/688/695/698/507/,698.0
MBO,331.0,Mammillary body,/997/8/343/1129/1097/467/331/,467.0
MA3,549009211.0,Medial accesory oculomotor nucleus,/997/8/343/313/323/549009211/,323.0
MEA,403.0,Medial amygdalar nucleus,/997/8/567/623/477/278/403/,278.0
MG,475.0,Medial geniculate complex,/997/8/343/1129/549/864/1008/475/,1008.0
MGd,1072.0,"Medial geniculate complex, dorsal part",/997/8/343/1129/549/864/1008/475/1072/,475.0
MGm,1088.0,"Medial geniculate complex, medial part",/997/8/343/1129/549/864/1008/475/1088/,475.0
MGv,1079.0,"Medial geniculate complex, ventral part",/997/8/343/1129/549/864/1008/475/1079/,475.0
MED,444.0,Medial group of the dorsal thalamus,/997/8/343/1129/549/856/444/,856.0
MH,483.0,Medial habenula,/997/8/343/1129/549/856/958/483/,958.0
MM,491.0,Medial mammillary nucleus,/997/8/343/1129/1097/467/331/491/,331.0
MMd,606826659.0,"Medial mammillary nucleus, dorsal part",/997/8/343/1129/1097/467/331/491/606826659/,491.0
MMl,606826647.0,"Medial mammillary nucleus, lateral part",/997/8/343/1129/1097/467/331/491/606826647/,491.0
MMm,606826651.0,"Medial mammillary nucleus, medial part",/997/8/343/1129/1097/467/331/491/606826651/,491.0
MMme,732.0,"Medial mammillary nucleus, median part",/997/8/343/1129/1097/467/331/491/732/,491.0
MMp,606826655.0,"Medial mammillary nucleus, posterior part",/997/8/343/1129/1097/467/331/491/606826655/,491.0
MPO,523.0,Medial preoptic area,/997/8/343/1129/1097/141/523/,141.0
MPN,515.0,Medial preoptic nucleus,/997/8/343/1129/1097/467/515/,467.0
MPT,531.0,Medial pretectal area,/997/8/343/313/323/1100/531/,1100.0
MSC,904.0,Medial septal complex,/997/8/567/623/803/826/904/,826.0
MS,564.0,Medial septal nucleus,/997/8/567/623/803/826/904/564/,904.0
MT,58.0,Medial terminal nucleus of the accessory optic tract,/997/8/343/313/323/58/,323.0
MV,202.0,Medial vestibular nucleus,/997/8/343/1065/354/370/701/202/,701.0
ME,10671.0,Median eminence,/997/8/343/1129/1097/10671/,1097.0
MEPO,452.0,Median preoptic nucleus,/997/8/343/1129/1097/141/452/,141.0
MD,362.0,Mediodorsal nucleus of thalamus,/997/8/343/1129/549/856/444/362/,444.0
MY,354.0,Medulla,/997/8/343/1065/354/,1065.0
MY-sat,379.0,"Medulla, behavioral state related",/997/8/343/1065/354/379/,354.0
MY-mot,370.0,"Medulla, motor related",/997/8/343/1065/354/370/,354.0
MY-sen,386.0,"Medulla, sensory related",/997/8/343/1065/354/386/,354.0
MDRN,395.0,Medullary reticular nucleus,/997/8/343/1065/354/370/395/,370.0
MDRNd,1098.0,"Medullary reticular nucleus, dorsal part",/997/8/343/1065/354/370/395/1098/,395.0
MDRNv,1107.0,"Medullary reticular nucleus, ventral part",/997/8/343/1065/354/370/395/1107/,395.0
MB,313.0,Midbrain,/997/8/343/313/,343.0
RAmb,165.0,Midbrain raphe nuclei,/997/8/343/313/348/165/,348.0
MRN,128.0,Midbrain reticular nucleus,/997/8/343/313/323/128/,323.0
RR,246.0,"Midbrain reticular nucleus, retrorubral area",/997/8/343/313/323/246/,323.0
MEV,460.0,Midbrain trigeminal nucleus,/997/8/343/313/339/460/,339.0
MBsta,348.0,"Midbrain, behavioral state related",/997/8/343/313/348/,313.0
MBmot,323.0,"Midbrain, motor related",/997/8/343/313/323/,313.0
MBsen,339.0,"Midbrain, sensory related",/997/8/343/313/339/,313.0
MTN,571.0,Midline group of the dorsal thalamus,/997/8/343/1129/549/856/571/,856.0
V,621.0,Motor nucleus of trigeminal,/997/8/343/1065/771/987/621/,987.0
NOD,968.0,Nodulus (X),/997/8/512/528/645/968/,645.0
ACB,56.0,Nucleus accumbens,/997/8/567/623/477/493/56/,493.0
AMB,135.0,Nucleus ambiguus,/997/8/343/1065/354/370/135/,370.0
AMBd,939.0,"Nucleus ambiguus, dorsal division",/997/8/343/1065/354/370/135/939/,135.0
AMBv,143.0,"Nucleus ambiguus, ventral division",/997/8/343/1065/354/370/135/143/,135.0
NI,604.0,Nucleus incertus,/997/8/343/1065/771/1117/604/,1117.0
ND,587.0,Nucleus of Darkschewitsch,/997/8/343/313/323/795/587/,795.0
NR,177.0,Nucleus of Roller,/997/8/343/1065/354/370/154/177/,154.0
RE,181.0,Nucleus of reuniens,/997/8/343/1129/549/856/571/181/,571.0
NB,580.0,Nucleus of the brachium of the inferior colliculus,/997/8/343/313/339/580/,339.0
NLL,612.0,Nucleus of the lateral lemniscus,/997/8/343/1065/771/1132/612/,1132.0
NLOT,619.0,Nucleus of the lateral olfactory tract,/997/8/567/688/695/698/619/,698.0
NLOT3,1139.0,"Nucleus of the lateral olfactory tract, layer 3",/997/8/567/688/695/698/619/1139/,619.0
NLOT1,260.0,"Nucleus of the lateral olfactory tract, molecular layer",/997/8/567/688/695/698/619/260/,619.0
NLOT2,268.0,"Nucleus of the lateral olfactory tract, pyramidal layer",/997/8/567/688/695/698/619/268/,619.0
NOT,628.0,Nucleus of the optic tract,/997/8/343/313/323/1100/628/,1100.0
NPC,634.0,Nucleus of the posterior commissure,/997/8/343/313/323/1100/634/,1100.0
NTS,651.0,Nucleus of the solitary tract,/997/8/343/1065/354/386/651/,386.0
NTB,642.0,Nucleus of the trapezoid body,/997/8/343/1065/354/386/642/,386.0
PRP,169.0,Nucleus prepositus,/997/8/343/1065/354/370/154/169/,154.0
RM,206.0,Nucleus raphe magnus,/997/8/343/1065/354/379/206/,379.0
RO,222.0,Nucleus raphe obscurus,/997/8/343/1065/354/379/222/,379.0
RPA,230.0,Nucleus raphe pallidus,/997/8/343/1065/354/379/230/,379.0
RPO,238.0,Nucleus raphe pontis,/997/8/343/1065/771/1117/238/,1117.0
SAG,271.0,Nucleus sagulum,/997/8/343/313/339/271/,339.0
